Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,17.059999,17.230000,16.870001,17.049999,17.049999,146300
2018-11-13,16.900000,17.330000,16.900000,16.920000,16.920000,139700
2018-11-14,16.969999,16.990000,16.200001,16.290001,16.290001,216600
2018-11-15,16.240000,16.530001,16.110001,16.480000,16.480000,115700
2018-11-16,16.389999,16.709999,16.320000,16.610001,16.610001,93000
2018-11-19,16.549999,16.629999,16.129999,16.139999,16.139999,128600
2018-11-20,15.990000,16.320000,15.630000,15.670000,15.670000,171100
2018-11-21,15.770000,16.600000,15.770000,16.410000,16.410000,121700
2018-11-23,16.389999,16.389999,16.100000,16.150000,16.150000,32300
2018-11-26,16.330000,16.480000,16.059999,16.360001,16.360001,143000
2018-11-27,16.340000,16.340000,16.110001,16.219999,16.219999,83900
2018-11-28,16.240000,16.500000,16.049999,16.500000,16.500000,147700
2018-11-29,16.469999,16.870001,16.340000,16.790001,16.790001,174100
2018-11-30,16.790001,17.049999,16.480000,17.040001,17.040001,177100
2018-12-03,17.100000,17.480000,16.790001,17.190001,17.190001,236800
2018-12-04,17.299999,17.389999,16.450001,16.510000,16.510000,300000
2018-12-06,16.299999,16.629999,16.000000,16.459999,16.459999,324900
2018-12-07,16.459999,16.580000,15.980000,16.040001,16.040001,147200
2018-12-10,16.020000,16.280001,15.640000,16.110001,16.110001,152200
2018-12-11,16.160000,16.340000,15.910000,16.059999,16.059999,75494
